temperature,humidity,moisture,soil,crop
26.0,52.0,38.0,sandy,maize
29.0,52.0,45.0,loamy,sugarcane
34.0,65.0,62.0,black,cotton
32.0,62.0,34.0,red,tobacco
28.0,54.0,46.0,clayey,paddy
26.0,52.0,35.0,sandy,barley
25.0,50.0,64.0,red,cotton
33.0,64.0,50.0,loamy,wheat
30.0,60.0,42.0,sandy,millets
29.0,58.0,33.0,black,oil seeds
27.0,54.0,28.0,clayey,pulses
31.0,62.0,48.0,sandy,maize
25.0,50.0,65.0,loamy,cotton
32.0,62.0,41.0,clayey,paddy
26.0,52.0,31.0,red,ground nuts
31.0,62.0,49.0,black,sugarcane
33.0,64.0,34.0,clayey,pulses
25.0,50.0,39.0,sandy,barley
28.0,54.0,65.0,black,cotton
29.0,58.0,52.0,loamy,wheat
30.0,60.0,44.0,sandy,millets
34.0,65.0,53.0,loamy,sugarcane
35.0,68.0,33.0,red,tobacco
28.0,54.0,37.0,black,millets
33.0,64.0,39.0,clayey,paddy
26.0,52.0,44.0,sandy,maize
30.0,60.0,63.0,red,cotton
32.0,62.0,30.0,loamy,sugarcane
37.0,70.0,32.0,black,oil seeds
26.0,52.0,36.0,clayey,pulses
29.0,58.0,40.0,red,ground nuts
30.0,60.0,27.0,loamy,sugarcane
34.0,65.0,38.0,clayey,paddy
36.0,68.0,38.0,sandy,barley
26.0,52.0,48.0,loamy,wheat
28.0,54.0,35.0,black,millets
30.0,60.0,61.0,loamy,cotton
37.0,70.0,37.0,clayey,paddy
25.0,50.0,26.0,red,ground nuts
29.0,58.0,34.0,sandy,millets
27.0,54.0,30.0,clayey,pulses
30.0,60.0,58.0,loamy,sugarcane
32.0,62.0,34.0,red,tobacco
34.0,65.0,60.0,black,sugarcane
35.0,67.0,42.0,sandy,barley
38.0,70.0,48.0,loamy,wheat
26.0,52.0,32.0,black,oil seeds
29.0,58.0,43.0,clayey,paddy
30.0,60.0,29.0,red,ground nuts
33.0,64.0,51.0,sandy,maize
34.0,65.0,31.0,red,tobacco
36.0,68.0,33.0,black,oil seeds
28.0,54.0,38.0,clayey,pulses
30.0,60.0,47.0,sandy,barley
31.0,62.0,63.0,red,cotton
27.0,53.0,43.0,black,millets
34.0,65.0,54.0,loamy,wheat
29.0,58.0,37.0,sandy,millets
25.0,50.0,56.0,loamy,sugarcane
32.0,62.0,34.0,red,ground nuts
28.0,54.0,41.0,clayey,paddy
30.0,60.0,49.0,loamy,wheat
34.0,65.0,64.0,black,cotton
28.0,54.0,47.0,sandy,barley
27.0,53.0,35.0,black,oil seeds
36.0,68.0,62.0,red,cotton
34.0,65.0,57.0,black,sugarcane
29.0,58.0,55.0,loamy,sugarcane
25.0,50.0,40.0,clayey,pulses
30.0,60.0,38.0,sandy,millets
26.0,52.0,39.0,clayey,pulses
31.0,62.0,32.0,red,tobacco
34.0,65.0,48.0,loamy,wheat
27.0,53.0,34.0,black,oil seeds
33.0,64.0,31.0,red,ground nuts
29.0,58.0,42.0,clayey,paddy
30.0,60.0,47.0,sandy,maize
27.0,53.0,59.0,loamy,sugarcane
26.0,52.0,36.0,clayey,pulses
34.0,65.0,63.0,red,cotton
28.0,54.0,43.0,clayey,paddy
30.0,60.0,40.0,sandy,millets
29.0,58.0,65.0,black,cotton
26.0,52.0,59.0,loamy,sugarcane
31.0,62.0,44.0,sandy,barley
35.0,67.0,28.0,clayey,pulses
29.0,58.0,30.0,red,tobacco
27.0,53.0,30.0,black,millets
36.0,68.0,50.0,loamy,wheat
29.0,58.0,61.0,loamy,cotton
30.0,60.0,26.0,black,oil seeds
34.0,65.0,45.0,clayey,paddy
36.0,68.0,41.0,red,ground nuts
28.0,54.0,25.0,sandy,maize
25.0,50.0,32.0,clayey,pulses
30.0,60.0,27.0,red,tobacco
38.0,72.0,51.0,loamy,wheat
36.0,60.0,43.0,sandy,millets
29.0,58.0,57.0,black,sugarcane
27.58,59.21,31.27,loamy,cotton
27.45,66.38,50.14,black,millets
27.25,63.62,40.35,black,wheat
28.84,58.91,33.06,clayey,millets
25.86,48.46,46.25,red,ground nuts
25.59,63.6,46.33,clayey,cotton
29.17,68.19,30.65,sandy,oil seeds
36.05,73.59,58.17,red,millets
26.76,64.22,53.63,sandy,ground nuts
27.66,53.58,40.96,red,cotton
28.27,52.88,43.3,black,wheat
38.39,69.51,65.09,clayey,oil seeds
28.74,56.8,54.07,loamy,cotton
30.63,63.88,38.71,loamy,paddy
26.02,52.46,31.12,loamy,barley
34.71,64.94,52.62,sandy,oil seeds
23.71,51.25,30.5,black,oil seeds
30.63,61.45,23.18,black,maize
23.63,52.62,31.03,clayey,sugarcane
27.65,58.09,69.07,clayey,oil seeds
31.19,60.94,30.51,black,paddy
37.12,72.87,47.06,sandy,tobacco
33.52,60.46,47.85,black,pulses
29.44,59.34,55.51,loamy,sugarcane
33.24,69.48,65.48,clayey,cotton
20.85,53.18,43.77,loamy,tobacco
38.42,73.97,50.41,loamy,sugarcane
29.04,71.09,21.12,sandy,maize
23.59,55.82,62.92,red,sugarcane
38.56,73.46,30.62,black,pulses
30.87,63.94,46.2,sandy,cotton
25.83,51.1,59.57,sandy,maize
34.51,63.92,70.0,loamy,sugarcane
31.92,62.59,27.78,sandy,pulses
28.43,58.72,43.9,sandy,sugarcane
27.53,55.04,57.07,sandy,pulses
24.53,67.4,48.49,red,paddy
30.82,51.91,54.23,red,wheat
32.53,59.45,20.16,loamy,cotton
28.17,58.69,34.11,sandy,cotton
29.25,54.52,41.4,clayey,paddy
22.26,51.36,48.36,loamy,tobacco
30.76,66.64,56.32,red,ground nuts
27.84,66.53,36.89,loamy,sugarcane
29.21,64.21,54.95,red,wheat
26.01,59.52,35.75,loamy,pulses
29.5,55.42,51.17,red,cotton
32.98,62.02,33.12,red,wheat
24.24,59.04,50.07,loamy,barley
33.54,59.28,52.09,clayey,wheat
34.43,72.28,62.22,clayey,ground nuts
32.19,68.94,67.37,sandy,barley
32.55,71.46,67.14,clayey,oil seeds
28.38,52.02,43.83,loamy,wheat
25.4,43.57,38.51,red,maize
33.8,52.28,53.31,clayey,millets
28.38,47.58,34.86,black,paddy
28.37,59.8,35.35,black,oil seeds
30.08,73.84,41.22,sandy,sugarcane
34.95,64.93,62.63,clayey,wheat
35.56,74.88,52.16,clayey,cotton
24.05,52.76,58.9,sandy,oil seeds
23.42,53.65,69.68,sandy,barley
31.68,62.14,42.55,black,sugarcane
31.03,69.0,49.46,loamy,maize
31.78,44.27,45.07,loamy,maize
22.3,60.64,40.78,sandy,ground nuts
26.39,52.62,22.27,sandy,cotton
29.36,64.39,20.0,red,tobacco
26.67,47.94,34.08,black,sugarcane
26.75,56.87,20.0,clayey,barley
30.64,65.77,32.86,clayey,sugarcane
29.89,48.59,38.0,clayey,pulses
28.61,62.22,41.53,loamy,ground nuts
37.09,63.72,47.99,red,sugarcane
21.78,55.6,33.66,loamy,maize
30.42,70.37,55.92,red,wheat
35.39,52.28,42.97,sandy,pulses
30.53,52.17,41.92,black,oil seeds
28.09,56.62,36.14,loamy,ground nuts
22.95,55.86,31.58,black,paddy
32.06,75.56,55.73,sandy,tobacco
38.4,67.88,62.06,clayey,maize
33.59,66.16,69.67,sandy,pulses
26.47,62.91,46.87,sandy,ground nuts
31.56,58.25,29.12,loamy,oil seeds
29.13,56.72,67.72,clayey,ground nuts
23.35,59.98,63.83,black,oil seeds
26.75,58.1,39.27,clayey,maize
30.42,48.76,42.28,red,millets
24.9,51.02,31.9,loamy,ground nuts
27.31,57.3,22.41,loamy,wheat
31.5,74.7,23.25,clayey,ground nuts
27.63,69.25,41.18,loamy,millets
22.59,45.7,33.13,black,maize
35.97,60.1,26.8,black,tobacco
27.69,55.55,27.9,red,sugarcane
24.27,52.43,62.34,loamy,millets
30.42,50.01,26.27,black,ground nuts
31.52,44.64,42.86,red,barley
30.64,57.57,46.45,red,wheat
22.17,47.78,43.03,clayey,paddy
36.5,65.85,42.33,loamy,maize
35.13,65.69,37.76,black,maize
24.82,53.75,47.97,black,ground nuts
31.24,55.88,37.05,sandy,oil seeds
29.77,46.18,63.79,loamy,cotton
25.86,46.65,32.67,clayey,oil seeds
30.15,60.77,42.93,clayey,cotton
29.46,59.4,49.1,clayey,ground nuts
29.37,64.45,64.66,black,cotton
23.63,58.75,35.6,red,oil seeds
32.45,60.24,55.92,sandy,millets
37.34,63.39,25.36,red,paddy
30.41,67.24,65.58,loamy,cotton
31.9,55.45,59.87,sandy,barley
35.85,52.79,54.13,clayey,cotton
28.87,49.91,35.02,red,pulses
26.33,50.2,45.34,clayey,oil seeds
29.67,58.75,40.69,sandy,sugarcane
32.2,50.72,39.63,clayey,ground nuts
29.24,62.15,51.65,black,millets
34.15,71.16,41.7,red,paddy
31.56,55.15,56.8,red,barley
24.76,56.88,20.0,clayey,oil seeds
34.15,63.96,47.64,red,barley
30.7,57.71,38.36,sandy,wheat
34.89,53.79,37.58,red,ground nuts
26.7,63.42,24.65,sandy,cotton
23.75,61.43,52.94,black,ground nuts
25.73,52.9,46.14,red,cotton
25.36,50.91,24.39,loamy,wheat
36.35,61.89,65.38,black,sugarcane
21.91,46.66,45.27,black,millets
26.44,65.84,50.2,clayey,pulses
28.93,50.28,20.33,red,wheat
30.06,53.68,70.0,sandy,maize
35.29,64.13,46.59,clayey,pulses
24.61,63.9,70.0,loamy,pulses
29.38,60.44,45.57,clayey,millets
30.2,51.16,32.5,red,barley
32.46,68.2,64.77,sandy,sugarcane
24.26,53.19,67.73,clayey,oil seeds
37.9,75.51,25.35,clayey,ground nuts
31.1,55.48,46.43,sandy,cotton
31.75,62.4,34.97,black,wheat
27.29,57.56,53.09,black,pulses
26.71,55.89,69.87,loamy,paddy
29.25,56.07,33.6,black,oil seeds
29.73,58.67,29.64,red,barley
31.62,57.88,42.77,clayey,oil seeds
25.93,54.07,23.84,loamy,maize
26.47,55.37,59.34,sandy,maize
21.92,53.0,33.57,black,barley
24.35,58.11,34.04,clayey,oil seeds
29.55,45.99,50.06,red,sugarcane
28.29,60.24,33.44,black,pulses
31.31,73.26,70.0,loamy,pulses
30.05,58.21,23.31,loamy,cotton
31.27,62.18,32.06,sandy,paddy
32.51,61.45,70.0,loamy,ground nuts
23.98,44.94,20.0,sandy,oil seeds
30.28,69.29,53.16,sandy,tobacco
28.02,54.85,55.71,sandy,sugarcane
28.66,56.26,39.29,black,sugarcane
30.85,70.39,29.35,black,millets
24.51,62.55,65.83,loamy,pulses
22.33,56.84,29.98,black,ground nuts
29.75,55.39,28.42,sandy,tobacco
28.27,52.86,22.36,clayey,ground nuts
33.27,67.2,40.49,loamy,paddy
38.53,70.2,28.94,loamy,millets
25.2,60.02,69.92,sandy,oil seeds
23.66,55.66,31.32,red,wheat
35.01,71.58,39.2,black,wheat
36.92,69.78,32.64,clayey,maize
23.74,47.23,43.64,red,tobacco
30.51,48.99,28.68,black,tobacco
27.02,68.83,33.05,black,tobacco
27.77,42.89,59.1,red,barley
39.65,63.55,47.33,red,cotton
37.27,64.08,36.28,red,barley
27.93,64.17,62.13,black,pulses
29.95,61.75,36.58,black,sugarcane
24.97,59.24,47.46,sandy,paddy
27.68,61.68,59.47,clayey,paddy
23.82,47.74,30.62,black,cotton
34.57,69.61,57.23,clayey,pulses
35.1,70.14,56.12,loamy,pulses
33.71,59.42,29.32,black,barley
24.75,45.31,49.7,clayey,cotton
37.36,59.64,53.7,loamy,millets
32.22,56.29,48.76,black,maize
32.35,48.81,46.33,loamy,paddy
